38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,ea:9e:b4:53:24:54,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,b0:be:76:f8:30:5e,38:17:c3:1f:01:92,38:17:c3:1f:01:91,80:8d:b7:55:39:d1,80:8d:b7:55:35:02,80:8d:b7:55:35:01,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:35:03,80:8d:b7:55:35:13,80:8d:b7:55:35:12,80:8d:b7:55:39:d2,80:8d:b7:55:35:11,44:48:c1:a5:82:31,44:48:c1:a5:82:32,80:8d:b7:55:25:e3,38:17:c3:1f:01:82,38:17:c3:1f:01:81,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,38:17:c3:19:d7:61,38:17:c3:19:d7:62,80:8d:b7:55:3a:41,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,38:17:c3:19:d7:72,38:17:c3:19:55:51,00:4e:35:df:06:41,b4:5d:50:e1:92:33,ac:e2:d3:c4:08:e6,38:17:c3:1f:0e:10,38:17:c3:1f:0e:00,38:17:c3:1f:01:90,80:8d:b7:55:39:d0,80:8d:b7:55:35:00,80:8d:b7:55:39:c0,80:8d:b7:55:35:10,44:48:c1:a5:82:30,38:17:c3:1f:01:80,80:8d:b7:55:25:e0,80:8d:b7:55:3a:40,80:8d:b7:55:25:f0,38:17:c3:19:55:50,38:17:c3:19:d7:70,80:8d:b7:55:3a:50,00:4e:35:df:06:52,00:4e:35:df:06:42,66:2a:2f:53:7c:99,80:8d:b7:55:3a:42,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,00:4e:35:df:06:50,00:4e:35:df:06:51,38:17:c3:19:d7:60,38:17:c3:1e:ff:00,44:48:c1:a5:82:21,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,00:4e:35:df:06:40,60:32:b1:3e:1a:b8,20:a6:cd:50:24:b0,20:a6:cd:50:24:a2,20:a6:cd:50:24:a1,38:17:c3:19:d7:71,44:48:c1:a5:82:22,44:48:c1:a5:82:20,20:a6:cd:50:24:a0,38:17:c3:19:45:b0,38:17:c3:1e:ff:10,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,b4:5d:50:e1:92:32,b4:5d:50:e1:92:31,38:17:c3:19:45:b2,38:17:c3:19:45:b1,38:17:c3:19:45:a2,b4:5d:50:e1:92:22,b4:5d:50:e1:92:23,38:17:c3:19:55:52,b4:5d:50:e1:96:50,a8:bd:27:4c:bd:30,38:17:c3:19:55:42,38:17:c3:19:55:41,38:17:c3:19:55:40,38:17:c3:19:45:a0,38:17:c3:19:45:a1,b4:5d:50:e1:96:43,b4:5d:50:e1:96:53,20:a6:cd:42:0b:e3,b4:5d:50:e1:92:30,00:4e:35:de:e1:02,60:32:b1:3e:1a:b7,b4:5d:50:e1:92:20,00:4e:35:de:e1:01,b4:5d:50:e1:92:21,00:4e:35:de:e1:00,00:4e:35:de:e1:12,00:4e:35:de:e1:10,00:4e:35:de:e1:11,44:48:c1:91:95:b0,44:48:c1:91:95:b1,44:48:c1:91:95:b2,44:48:c1:91:95:b3,38:17:c3:1f:08:41,38:17:c3:1f:22:21,38:17:c3:1f:22:22,38:17:c3:1f:22:20,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,38:17:c3:19:71:81,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,38:17:c3:1f:08:40,00:4e:35:de:d7:41,00:4e:35:de:d7:40,00:4e:35:de:d7:42,00:4e:35:de:d7:52,00:4e:35:de:d7:53,00:4e:35:de:d7:50,00:4e:35:de:d7:43,38:17:c3:19:71:90,38:17:c3:19:71:82,38:17:c3:19:71:80,38:17:c3:1f:22:30,38:17:c3:19:71:92,38:17:c3:1f:08:50,00:4e:35:de:d7:51,38:17:c3:1f:22:31,38:17:c3:1f:08:42,38:17:c3:1f:22:32,38:17:c3:1f:08:51,00:4e:35:df:0e:00,38:17:c3:1f:08:52,38:17:c3:1e:fc:a0,00:4e:35:df:0e:10,00:4e:35:df:0e:11,00:4e:35:df:0e:12,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,00:4e:35:df:0e:02,38:17:c3:1e:fc:b0,00:4e:35:df:0e:01,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b1,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:58:b0,38:17:c3:24:4f:02,38:17:c3:1f:0f:90,38:17:c3:24:4f:10,38:17:c3:24:58:a1,38:17:c3:24:4f:01,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:24:4f:00,38:17:c3:1f:0f:91,38:17:c3:24:4f:12,38:17:c3:24:4f:11,00:4e:35:df:27:01,38:17:c3:1b:08:a1,x,y,label
-67,-67,-66,-72,-71,-65,-100,-100,-67,-71,-71,-62,-62,-74,-77,-78,-67,-77,-66,-66,-75,-100,-100,-75,-76,-80,-100,-67,-82,-82,-82,-100,-74,-72,-85,-86,-68,-72,-100,-67,-71,-61,-77,-66,-100,-76,-67,-83,-74,-100,-73,-76,-72,-81,-67,-100,-100,-85,-85,-76,-76,-80,-100,-60,-73,-73,-72,-82,-85,-100,-100,-100,-60,-60,-100,-100,-100,-100,-100,-85,-85,-100,-100,-100,-78,-79,-74,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-86,-78,-100,-77,-79,-78,-79,-84,-83,-84,-100,-100,-100,-100,-83,-85,-84,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,472.99999999999983,15
-68,-68,-64,-70,-70,-74,-100,-100,-61,-70,-70,-55,-54,-65,-76,-76,-62,-76,-76,-77,-72,-100,-100,-75,-75,-82,-81,-63,-81,-80,-81,-100,-76,-69,-83,-83,-68,-70,-88,-62,-70,-54,-76,-77,-100,-75,-62,-81,-76,-100,-73,-80,-69,-77,-63,-100,-100,-100,-100,-74,-80,-81,-100,-61,-73,-73,-69,-100,-100,-100,-100,-100,-61,-61,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-82,-84,-76,-100,-100,-75,-74,-75,-100,-100,-100,-100,-100,-83,-78,-100,-81,-80,-82,-79,-84,-83,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-90,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-68,-68,-66,-70,-70,-74,-100,-100,-61,-70,-70,-54,-54,-65,-76,-76,-62,-76,-77,-78,-72,-100,-100,-74,-75,-81,-81,-62,-81,-81,-81,-100,-76,-69,-82,-85,-68,-70,-88,-62,-70,-54,-75,-77,-100,-75,-62,-81,-76,-100,-73,-78,-69,-78,-62,-100,-100,-100,-100,-78,-78,-81,-100,-61,-73,-73,-69,-100,-100,-100,-100,-100,-61,-61,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-82,-84,-76,-100,-100,-75,-75,-75,-100,-100,-100,-100,-100,-84,-80,-100,-82,-80,-83,-80,-85,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-68,-68,-66,-100,-100,-74,-100,-100,-61,-70,-70,-54,-54,-65,-76,-76,-62,-76,-78,-77,-73,-100,-100,-75,-75,-81,-100,-63,-81,-81,-81,-100,-76,-69,-83,-85,-68,-70,-89,-62,-70,-54,-75,-77,-100,-75,-63,-81,-76,-100,-73,-77,-69,-77,-63,-100,-100,-100,-100,-78,-78,-81,-100,-61,-73,-73,-69,-100,-100,-100,-100,-100,-60,-61,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-100,-76,-100,-100,-75,-75,-75,-100,-100,-100,-100,-100,-83,-80,-90,-82,-80,-83,-79,-86,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-91,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-68,-68,-66,-70,-70,-74,-100,-100,-62,-70,-70,-54,-54,-65,-75,-75,-62,-76,-78,-78,-72,-100,-100,-74,-75,-100,-83,-62,-81,-80,-81,-100,-76,-69,-83,-84,-68,-70,-89,-62,-70,-54,-75,-78,-100,-75,-63,-81,-76,-100,-72,-79,-69,-78,-62,-100,-100,-100,-100,-79,-79,-100,-100,-61,-72,-72,-69,-100,-100,-100,-100,-100,-61,-61,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-100,-76,-100,-100,-75,-75,-75,-100,-100,-100,-100,-100,-83,-80,-90,-100,-100,-100,-79,-85,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-68,-68,-67,-70,-70,-74,-100,-100,-62,-70,-70,-54,-54,-69,-75,-76,-62,-75,-78,-78,-72,-100,-100,-76,-76,-81,-83,-62,-81,-81,-81,-100,-76,-69,-83,-84,-68,-70,-100,-62,-70,-54,-76,-78,-100,-75,-63,-81,-76,-100,-73,-78,-69,-78,-63,-100,-100,-100,-100,-78,-78,-81,-100,-61,-73,-73,-69,-100,-100,-100,-100,-100,-61,-61,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-100,-76,-100,-100,-76,-76,-74,-100,-100,-100,-100,-100,-83,-80,-100,-100,-100,-100,-100,-87,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-68,-68,-66,-70,-70,-73,-100,-100,-61,-70,-71,-55,-54,-65,-76,-76,-62,-76,-77,-77,-72,-100,-100,-75,-75,-81,-100,-62,-81,-80,-81,-100,-76,-69,-83,-84,-68,-70,-100,-62,-70,-54,-77,-77,-100,-74,-62,-80,-76,-100,-73,-77,-69,-77,-62,-100,-100,-100,-100,-78,-76,-81,-100,-61,-74,-74,-69,-100,-100,-100,-100,-100,-61,-61,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-82,-83,-76,-100,-100,-75,-74,-74,-100,-100,-100,-100,-100,-83,-80,-100,-100,-100,-100,-100,-86,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-100,-73,-64,-75,-75,-70,-87,-87,-66,-72,-72,-64,-64,-70,-78,-78,-66,-100,-69,-69,-72,-100,-100,-73,-73,-100,-100,-68,-83,-83,-83,-100,-76,-70,-86,-84,-100,-75,-87,-66,-74,-64,-78,-69,-100,-73,-68,-82,-76,-100,-69,-81,-70,-74,-68,-100,-100,-100,-100,-100,-81,-100,-100,-65,-69,-69,-70,-100,-100,-100,-100,-100,-65,-66,-100,-100,-100,-100,-100,-86,-86,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-77,-100,-100,-77,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-100,-74,-66,-75,-75,-71,-87,-87,-66,-72,-72,-64,-63,-70,-78,-79,-66,-79,-69,-69,-72,-100,-100,-73,-73,-100,-100,-68,-83,-83,-83,-100,-76,-70,-87,-85,-100,-75,-87,-66,-74,-64,-78,-69,-100,-73,-68,-83,-76,-88,-70,-81,-70,-76,-67,-100,-100,-100,-100,-100,-81,-100,-100,-65,-70,-70,-70,-100,-100,-100,-100,-89,-65,-65,-100,-100,-100,-100,-100,-86,-86,-100,-100,-100,-100,-100,-76,-100,-100,-100,-82,-81,-100,-100,-100,-100,-100,-86,-78,-100,-100,-77,-100,-78,-86,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-83,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-100,-73,-65,-75,-75,-70,-87,-86,-66,-71,-100,-62,-62,-71,-79,-79,-66,-79,-69,-69,-75,-100,-100,-100,-100,-100,-100,-68,-83,-83,-83,-100,-76,-70,-86,-85,-100,-75,-87,-66,-72,-63,-80,-69,-100,-100,-68,-83,-76,-88,-71,-81,-70,-82,-67,-100,-100,-100,-100,-81,-81,-100,-100,-66,-71,-71,-70,-86,-100,-100,-100,-89,-66,-66,-100,-100,-100,-100,-100,-86,-86,-100,-100,-100,-100,-100,-76,-100,-88,-100,-82,-81,-100,-100,-100,-100,-100,-87,-78,-100,-100,-100,-100,-100,-84,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-73,-73,-66,-75,-75,-69,-87,-86,-66,-72,-72,-64,-64,-71,-78,-79,-66,-79,-69,-69,-75,-100,-100,-73,-74,-100,-100,-68,-83,-82,-82,-100,-76,-70,-86,-100,-73,-75,-86,-66,-72,-64,-79,-69,-100,-73,-68,-82,-76,-100,-70,-80,-70,-75,-100,-100,-100,-100,-100,-80,-80,-100,-100,-66,-70,-70,-70,-86,-100,-100,-100,-100,-66,-66,-100,-100,-100,-100,-100,-86,-86,-100,-100,-100,-100,-100,-76,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-87,-78,-100,-100,-77,-100,-100,-85,-85,-85,-100,-100,-100,-100,-100,-82,-82,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-73,-73,-65,-75,-75,-70,-87,-87,-66,-72,-72,-64,-64,-71,-79,-79,-66,-78,-69,-69,-75,-100,-100,-73,-73,-100,-100,-100,-83,-83,-83,-100,-76,-70,-86,-100,-73,-75,-86,-66,-72,-64,-79,-69,-100,-73,-100,-82,-76,-100,-70,-79,-70,-72,-100,-100,-100,-100,-100,-80,-80,-100,-100,-66,-70,-70,-70,-84,-100,-100,-100,-100,-66,-65,-100,-100,-100,-100,-100,-86,-86,-100,-100,-100,-100,-82,-76,-100,-89,-100,-79,-80,-100,-100,-100,-100,-100,-86,-78,-100,-100,-78,-100,-78,-81,-85,-85,-100,-100,-100,-100,-100,-82,-84,-82,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-90,-100,-100,-100,-100,-100,-100,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-73,-73,-64,-75,-75,-70,-87,-87,-66,-72,-72,-64,-64,-71,-79,-79,-66,-79,-69,-69,-75,-100,-100,-73,-73,-100,-81,-69,-83,-83,-83,-100,-76,-70,-86,-85,-73,-75,-86,-66,-72,-64,-79,-69,-100,-73,-69,-83,-76,-100,-70,-81,-70,-75,-68,-100,-100,-100,-100,-81,-81,-100,-100,-66,-70,-70,-70,-84,-100,-100,-100,-100,-66,-66,-100,-100,-100,-100,-100,-86,-86,-100,-100,-100,-100,-82,-76,-100,-89,-80,-80,-81,-100,-100,-100,-100,-100,-86,-77,-100,-100,-78,-100,-78,-81,-81,-81,-100,-100,-100,-100,-100,-100,-84,-82,-100,-84,-83,-84,-100,-100,-100,-100,-100,-100,-91,-100,-90,-100,-100,-84,-84,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-72,-72,-64,-100,-100,-64,-100,-100,-67,-72,-71,-65,-66,-72,-100,-100,-67,-100,-71,-71,-68,-100,-100,-73,-72,-79,-79,-60,-81,-81,-81,-100,-73,-71,-100,-100,-72,-74,-100,-67,-72,-66,-100,-71,-100,-72,-60,-81,-100,-100,-66,-77,-71,-83,-60,-100,-100,-100,-100,-77,-77,-79,-100,-64,-66,-66,-100,-100,-100,-100,-100,-100,-64,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-73,-100,-85,-70,-70,-70,-100,-100,-100,-100,-100,-100,-80,-100,-100,-78,-100,-100,-85,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,515.5999999999998,18
-72,-72,-64,-74,-74,-65,-100,-100,-65,-72,-71,-66,-66,-72,-80,-80,-65,-80,-71,-71,-70,-100,-100,-72,-72,-78,-79,-61,-81,-81,-81,-100,-72,-71,-100,-86,-72,-74,-100,-65,-72,-66,-79,-71,-100,-73,-61,-81,-72,-100,-65,-77,-71,-87,-61,-100,-100,-100,-100,-77,-77,-78,-100,-65,-65,-65,-71,-87,-100,-100,-100,-100,-64,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-72,-100,-85,-70,-70,-70,-100,-100,-100,-100,-100,-100,-79,-100,-81,-78,-82,-73,-83,-83,-83,-100,-100,-100,-100,-83,-100,-100,-100,-84,-84,-100,-84,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,515.5999999999998,18
-72,-72,-65,-74,-74,-65,-100,-100,-65,-72,-71,-66,-66,-72,-80,-80,-65,-80,-71,-71,-77,-100,-100,-72,-72,-78,-79,-59,-80,-81,-81,-100,-72,-71,-100,-83,-100,-74,-100,-65,-72,-66,-80,-71,-100,-73,-61,-81,-72,-100,-66,-76,-71,-82,-61,-100,-100,-100,-100,-76,-76,-76,-100,-65,-66,-66,-71,-100,-100,-100,-100,-100,-65,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-72,-100,-85,-70,-70,-70,-100,-100,-100,-100,-100,-100,-78,-100,-81,-74,-82,-73,-83,-83,-82,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,515.5999999999998,18
-72,-72,-64,-100,-100,-66,-100,-100,-65,-71,-72,-66,-66,-73,-80,-80,-65,-79,-72,-72,-69,-100,-100,-72,-72,-78,-78,-61,-81,-81,-81,-100,-72,-71,-100,-83,-72,-100,-100,-65,-72,-66,-80,-72,-100,-73,-61,-81,-72,-100,-66,-77,-71,-88,-61,-100,-100,-100,-100,-76,-77,-80,-100,-65,-66,-66,-71,-100,-100,-100,-100,-100,-65,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-82,-72,-100,-86,-70,-70,-70,-100,-100,-100,-100,-100,-100,-78,-100,-82,-79,-81,-100,-83,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-86,-83,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,515.5999999999998,18
-72,-72,-66,-100,-100,-66,-100,-100,-65,-72,-72,-66,-66,-73,-80,-80,-65,-79,-71,-71,-71,-100,-100,-72,-72,-78,-78,-61,-81,-80,-81,-100,-72,-71,-100,-100,-72,-100,-90,-65,-72,-66,-80,-72,-100,-72,-61,-81,-72,-100,-65,-77,-71,-88,-61,-100,-100,-100,-100,-76,-77,-80,-100,-65,-65,-65,-67,-79,-100,-100,-100,-100,-65,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-82,-72,-100,-86,-70,-70,-71,-100,-100,-100,-100,-100,-100,-78,-100,-82,-78,-81,-78,-83,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-86,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-87,-100,-100,-100,-86,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,515.5999999999998,18
-72,-72,-64,-100,-100,-66,-100,-100,-65,-72,-72,-66,-66,-71,-79,-79,-65,-80,-72,-72,-70,-100,-100,-74,-72,-79,-79,-61,-81,-81,-81,-100,-72,-71,-100,-100,-72,-100,-90,-65,-72,-66,-79,-72,-100,-72,-62,-80,-72,-100,-65,-77,-71,-87,-62,-100,-100,-100,-100,-77,-77,-79,-100,-65,-66,-65,-71,-79,-100,-100,-100,-100,-65,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-83,-72,-100,-86,-70,-70,-70,-100,-100,-100,-100,-100,-100,-78,-100,-83,-78,-82,-78,-83,-82,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-87,-100,-100,-100,-87,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,515.5999999999998,18
-74,-100,-65,-75,-75,-72,-100,-100,-70,-69,-69,-70,-71,-70,-81,-81,-70,-81,-75,-75,-70,-100,-100,-70,-70,-100,-100,-65,-78,-78,-78,-100,-72,-71,-88,-83,-100,-75,-91,-70,-69,-71,-82,-75,-100,-100,-65,-78,-72,-100,-68,-100,-71,-82,-64,-100,-100,-100,-100,-100,-100,-100,-100,-74,-68,-68,-71,-100,-100,-100,-100,-100,-74,-74,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-72,-100,-84,-74,-74,-74,-100,-100,-100,-100,-100,-88,-82,-100,-100,-81,-100,-100,-86,-86,-86,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-84,-84,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,529.7999999999998,19
-74,-74,-67,-75,-75,-72,-100,-100,-70,-69,-69,-70,-70,-71,-81,-81,-70,-81,-75,-75,-68,-100,-100,-69,-70,-100,-100,-65,-79,-79,-79,-100,-72,-70,-88,-82,-74,-75,-91,-70,-69,-70,-81,-75,-100,-70,-65,-78,-72,-100,-67,-77,-70,-83,-65,-100,-100,-100,-100,-77,-77,-100,-100,-74,-67,-67,-71,-87,-100,-100,-100,-100,-74,-74,-100,-86,-100,-100,-100,-100,-88,-100,-100,-100,-100,-83,-72,-100,-85,-74,-74,-74,-100,-100,-100,-100,-100,-88,-82,-100,-100,-81,-100,-100,-85,-85,-85,-100,-100,-100,-100,-100,-83,-100,-84,-100,-100,-100,-100,-84,-85,-81,-100,-100,-100,-93,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,529.7999999999998,19
-74,-74,-66,-75,-75,-70,-100,-100,-71,-68,-69,-71,-71,-68,-81,-82,-70,-81,-75,-75,-70,-100,-100,-70,-70,-100,-100,-63,-78,-78,-79,-100,-72,-70,-88,-82,-74,-75,-90,-70,-69,-71,-82,-75,-100,-70,-64,-79,-70,-88,-68,-76,-71,-83,-64,-100,-100,-100,-100,-76,-76,-100,-100,-74,-68,-68,-70,-87,-89,-100,-100,-100,-74,-74,-100,-86,-100,-100,-100,-100,-88,-100,-100,-100,-100,-84,-72,-100,-85,-75,-74,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-82,-85,-85,-85,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-84,-84,-100,-100,-100,-100,-93,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,529.7999999999998,19
